election_date,election_name,county_name,contest_name,contest_type,choice_name,precinct_code,precinct_votes,precinct_ballots_cast,voter_turnout,voter_registration,is_zero_registration_precinct,is_zero_ballots_precinct,turnout_rate_precinct,turnout_rate_pct_precinct,contest_total_votes,choice_share,choice_rank,polarization_fragmentation,contest_participation_rate,rolloff_count,rolloff_rate,winner_votes,runnerup_votes,margin_votes,margin_pct,winner_share,runnerup_share,winner_choice_name,runnerup_choice_name
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,ANDREW YOUNG,25AL01,163,341,341,1092,False,False,0.31227106227106227,0.7985436893203883,625,0.2608,1.0,0.8093184,1.8328445747800586,-284.0,-0.8328445747800587,163.0,118.0,45.0,0.072,0.2608,0.1888,ANDREW YOUNG,JENNIFER WADSWORTH
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,JENNIFER WADSWORTH,25AL01,118,341,341,1092,False,False,0.31227106227106227,0.7985436893203883,625,0.1888,2.0,0.8093184,1.8328445747800586,-284.0,-0.8328445747800587,163.0,118.0,45.0,0.072,0.2608,0.1888,ANDREW YOUNG,JENNIFER WADSWORTH
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,SARAH BLACKWELL,25AL01,116,341,341,1092,False,False,0.31227106227106227,0.7985436893203883,625,0.1856,3.0,0.8093184,1.8328445747800586,-284.0,-0.8328445747800587,163.0,118.0,45.0,0.072,0.2608,0.1888,ANDREW YOUNG,JENNIFER WADSWORTH
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,WESLEY G. FUNK,25AL01,110,341,341,1092,False,False,0.31227106227106227,0.7985436893203883,625,0.176,4.0,0.8093184,1.8328445747800586,-284.0,-0.8328445747800587,163.0,118.0,45.0,0.072,0.2608,0.1888,ANDREW YOUNG,JENNIFER WADSWORTH
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,TROY SLADE,25AL01,88,341,341,1092,False,False,0.31227106227106227,0.7985436893203883,625,0.1408,5.0,0.8093184,1.8328445747800586,-284.0,-0.8328445747800587,163.0,118.0,45.0,0.072,0.2608,0.1888,ANDREW YOUNG,JENNIFER WADSWORTH
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,ALI GARBERO,25AL01,26,341,341,1092,False,False,0.31227106227106227,0.7985436893203883,625,0.0416,6.0,0.8093184,1.8328445747800586,-284.0,-0.8328445747800587,163.0,118.0,45.0,0.072,0.2608,0.1888,ANDREW YOUNG,JENNIFER WADSWORTH
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,J. BEN BLANK,25AL01,4,341,341,1092,False,False,0.31227106227106227,0.7985436893203883,625,0.0064,7.0,0.8093184,1.8328445747800586,-284.0,-0.8328445747800587,163.0,118.0,45.0,0.072,0.2608,0.1888,ANDREW YOUNG,JENNIFER WADSWORTH
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,ANDREW YOUNG,25AL02,100,216,216,795,False,False,0.27169811320754716,0.6553398058252428,387,0.25839793281653745,1.0,0.8079776188663876,1.7916666666666667,-171.0,-0.7916666666666666,100.0,72.0,28.0,0.07235142118863049,0.25839793281653745,0.18604651162790697,ANDREW YOUNG,WESLEY G. FUNK
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,WESLEY G. FUNK,25AL02,72,216,216,795,False,False,0.27169811320754716,0.6553398058252428,387,0.18604651162790697,2.0,0.8079776188663876,1.7916666666666667,-171.0,-0.7916666666666666,100.0,72.0,28.0,0.07235142118863049,0.25839793281653745,0.18604651162790697,ANDREW YOUNG,WESLEY G. FUNK
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,TROY SLADE,25AL02,69,216,216,795,False,False,0.27169811320754716,0.6553398058252428,387,0.17829457364341086,3.0,0.8079776188663876,1.7916666666666667,-171.0,-0.7916666666666666,100.0,72.0,28.0,0.07235142118863049,0.25839793281653745,0.18604651162790697,ANDREW YOUNG,WESLEY G. FUNK
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,JENNIFER WADSWORTH,25AL02,67,216,216,795,False,False,0.27169811320754716,0.6553398058252428,387,0.1731266149870801,4.0,0.8079776188663876,1.7916666666666667,-171.0,-0.7916666666666666,100.0,72.0,28.0,0.07235142118863049,0.25839793281653745,0.18604651162790697,ANDREW YOUNG,WESLEY G. FUNK
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,SARAH BLACKWELL,25AL02,65,216,216,795,False,False,0.27169811320754716,0.6553398058252428,387,0.16795865633074936,5.0,0.8079776188663876,1.7916666666666667,-171.0,-0.7916666666666666,100.0,72.0,28.0,0.07235142118863049,0.25839793281653745,0.18604651162790697,ANDREW YOUNG,WESLEY G. FUNK
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,ALI GARBERO,25AL02,8,216,216,795,False,False,0.27169811320754716,0.6553398058252428,387,0.020671834625323,6.0,0.8079776188663876,1.7916666666666667,-171.0,-0.7916666666666666,100.0,72.0,28.0,0.07235142118863049,0.25839793281653745,0.18604651162790697,ANDREW YOUNG,WESLEY G. FUNK
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,J. BEN BLANK,25AL02,6,216,216,795,False,False,0.27169811320754716,0.6553398058252428,387,0.015503875968992248,7.0,0.8079776188663876,1.7916666666666667,-171.0,-0.7916666666666666,100.0,72.0,28.0,0.07235142118863049,0.25839793281653745,0.18604651162790697,ANDREW YOUNG,WESLEY G. FUNK
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,SARAH BLACKWELL,25AL03,95,169,169,559,False,False,0.3023255813953488,0.7742718446601942,306,0.3104575163398693,1.0,0.8028536033149642,1.8106508875739644,-137.0,-0.8106508875739645,95.0,61.0,34.0,0.1111111111111111,0.3104575163398693,0.19934640522875818,SARAH BLACKWELL,ANDREW YOUNG
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,ANDREW YOUNG,25AL03,61,169,169,559,False,False,0.3023255813953488,0.7742718446601942,306,0.19934640522875818,2.0,0.8028536033149642,1.8106508875739644,-137.0,-0.8106508875739645,95.0,61.0,34.0,0.1111111111111111,0.3104575163398693,0.19934640522875818,SARAH BLACKWELL,ANDREW YOUNG
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,JENNIFER WADSWORTH,25AL03,48,169,169,559,False,False,0.3023255813953488,0.7742718446601942,306,0.1568627450980392,3.0,0.8028536033149642,1.8106508875739644,-137.0,-0.8106508875739645,95.0,61.0,34.0,0.1111111111111111,0.3104575163398693,0.19934640522875818,SARAH BLACKWELL,ANDREW YOUNG
2025-08-12,2025 Utah Municipal Primary,Utah County,Alpine City Council,Local,WESLEY G. FUNK,25AL03,42,169,169,559,False,False,0.3023255813953488,0.7742718446601942,306,0.13725490196078433,4.0,0.8028536033149642,1.8106508875739644,-137.0,-0.8106508875739645,95.0,61.0,34.0,0.1111111111111111,0.3104575163398693,0.19934640522875818,SARAH BLACKWELL,ANDREW YOUNG
